Outside Lands , 4 , 194.94.212.55 , 0.305675 , 0.19 , -1 , 0
A27gc4varUpwknYZvrc7J8cXzzVaHHtJ , 4 , 138.246.99.249 , 0.177896 , -1 , 0.0687 , 1
ricin , 5 , None , 0.20067 , 0.13 , -1 , 0
ppMedoOYmR7OPYPK6tapVHVHA4Fnutiw , 5 , None , 0.213357 , -1 , -1 , 1
American Airlines , 5 , None , 0.34176 , 0.17 , -1 , 0
eEPWyGdi6kEMsptNy73lLIKG0VoqKW9C , 5 , None , 0.239 , -1 , -1 , 1
Huffington Post , 5 , 138.246.99.249 , 0.197626 , 0.12 , 0.0537 , 0
imFdfm7TtiDMF40sZnoNR0w4JirFPVGm , 5 , 138.246.99.249 , 0.180627 , -1 , 0.0648 , 1
Krystle Campbell , 5 , 129.206.100.126 , 0.304205 , 0.14 , 7.886 , 0
CmMXwzH5wulqyHou2fiSTA1sEQLp71pA , 5 , None , 0.167654 , -1 , -1 , 1
Girls Love Beyonce , 5 , 138.246.99.249 , 0.248825 , 0.17 , 0.056 , 0
ZB7oz5xJEEUriYzZbM2cEZSjcTcBLTv0 , 5 , 194.44.214.37 , 0.167484 , -1 , 30.41 , 1
Tracy McGrady , 5 , 194.44.214.37 , 0.234922 , 0.13 , 30.87 , 0
7WWTVYWZsxK06YXzXIvLpJThkjg8phYy , 5 , 173.194.97.17 , 0.201886 , -1 , -1 , 1
USA TODAY , 5 , None , 0.229247 , 0.16 , -1 , 0
jsIxwpo4YcScjOVSY82xgfm8UvGqdmM5 , 5 , 138.246.99.249 , 0.173211 , -1 , 0.0505 , 1
Washington Post , 5 , None , 0.27981 , 0.21 , -1 , 0
QdQaVLFCjIamQsUUkLr28E1NLl88OA9v , 5 , None , 0.181894 , -1 , -1 , 1
Carlos Arredondo , 5 , None , 0.295073 , 0.21 , -1 , 0
kA5xko4LbgQTPNiGFNd8NAQJocO3IDbd , 5 , 138.246.99.249 , 0.421002 , -1 , 0.0666 , 1
Outside Lands , 5 , None , 0.193203 , 0.12 , -1 , 0
A27gc4varUpwknYZvrc7J8cXzzVaHHtJ , 5 , None , 0.191935 , -1 , -1 , 1
ricin , 6 , 138.246.99.249 , 0.200767 , 0.11 , 0.0692 , 0
ppMedoOYmR7OPYPK6tapVHVHA4Fnutiw , 6 , 188.119.192.10 , 0.212412 , -1 , 69.91 , 1
