FkbZgtgg7k9NNEfggXl5kHgSyh33gi8t , 4 , 130.149.49.136 , 0.149966 , -1 , 0.092 , 1
Girls Love Beyonce , 4 , 130.149.49.136 , 0.204016 , 0.14 , 0.075 , 0
2H3vcyweorFMyTyO7WvsHl5eFIl3L7R2 , 4 , None , 0.138163 , -1 , -1 , 1
Tracy McGrady , 4 , 130.149.49.136 , 0.271351 , 0.17 , 0.126 , 0
DWg8pRdfxqdlhITRaHdBHJIpIXlWE2iR , 4 , 130.149.49.136 , 0.108111 , -1 , 0.114 , 1
USA TODAY , 4 , None , 0.189915 , 0.13 , -1 , 0
4Ypp8Dhi6Wv6AZee9NwwLdb2rvBpPl8N , 4 , 130.149.49.136 , 0.504704 , -1 , 0.071 , 1
Washington Post , 4 , None , 0.191485 , 0.13 , -1 , 0
07eWTv7YEp5q7hH6RAaosDgRXu8IvicN , 4 , None , 0.122024 , -1 , -1 , 1
Carlos Arredondo , 4 , None , 0.187012 , 0.13 , -1 , 0
xZtnc3buYgkihEWbiQHgWJLoIgYSR1x1 , 4 , 130.149.49.136 , 0.137142 , -1 , 0.066 , 1
Outside Lands , 4 , None , 0.182219 , 0.1 , -1 , 0
IqC4erwBnnkzywZyTy5nyV6J5ewxlajt , 4 , None , 0.123943 , -1 , -1 , 1
ricin , 5 , None , 0.167304 , 0.11 , -1 , 0
3b9Ybz9yvJi5gQdBD28FXzbN4RRONPbl , 5 , None , 0.114953 , -1 , -1 , 1
American Airlines , 5 , None , 0.242989 , 0.16 , -1 , 0
Lu2JbXvbYpDcKGg1AucrUvw4sT1mqui8 , 5 , 130.149.49.136 , 0.11092 , -1 , 0.071 , 1
Huffington Post , 5 , None , 0.200564 , 0.14 , -1 , 0
RBR5kUSZOFaLQcFurFDYBIrvwt7LsfHP , 5 , None , 0.135018 , -1 , -1 , 1
Krystle Campbell , 5 , None , 0.213839 , 0.14 , -1 , 0
FkbZgtgg7k9NNEfggXl5kHgSyh33gi8t , 5 , 130.149.49.136 , 0.168185 , -1 , 0.101 , 1
Girls Love Beyonce , 5 , None , 0.287068 , 0.23 , -1 , 0
2H3vcyweorFMyTyO7WvsHl5eFIl3L7R2 , 5 , None , 0.124338 , -1 , -1 , 1
Tracy McGrady , 5 , None , 0.258977 , 0.18 , -1 , 0
DWg8pRdfxqdlhITRaHdBHJIpIXlWE2iR , 5 , 130.149.49.136 , 0.128383 , -1 , 0.124 , 1
USA TODAY , 5 , None , 0.210721 , 0.15 , -1 , 0
4Ypp8Dhi6Wv6AZee9NwwLdb2rvBpPl8N , 5 , None , 0.152322 , -1 , -1 , 1
Washington Post , 5 , None , 0.260137 , 0.21 , -1 , 0
07eWTv7YEp5q7hH6RAaosDgRXu8IvicN , 5 , None , 0.173557 , -1 , -1 , 1
Carlos Arredondo , 5 , None , 0.340199 , 0.26 , -1 , 0
xZtnc3buYgkihEWbiQHgWJLoIgYSR1x1 , 5 , None , 0.165022 , -1 , -1 , 1
Outside Lands , 5 , None , 0.171076 , 0.11 , -1 , 0
IqC4erwBnnkzywZyTy5nyV6J5ewxlajt , 5 , None , 0.128738 , -1 , -1 , 1
ricin , 6 , None , 0.150415 , 0.1 , -1 , 0
3b9Ybz9yvJi5gQdBD28FXzbN4RRONPbl , 6 , None , 0.110117 , -1 , -1 , 1
