American Airlines , 2 , 131.130.69.162 , 0.268143 , 0.17 , 0.022 , 0
cjxtISgdGFXKTdsCpyb7dH4ZFY7iIXzE , 2 , None , 0.251621 , -1 , -1 , 1
Huffington Post , 2 , None , 0.219217 , 0.14 , -1 , 0
lSlWhiQostdZLzLKTpPmj2tbWaNMzgZI , 2 , None , 0.144794 , -1 , -1 , 1
Krystle Campbell , 2 , None , 0.293266 , 0.19 , -1 , 0
wxTqmhYin7WFtUKFPJK7PPCiGjrL7qXc , 2 , 131.130.69.162 , 0.261672 , -1 , 0.022 , 1
Girls Love Beyonce , 2 , 131.130.69.162 , 0.298645 , 0.19 , 0.022 , 0
efJGujb3ZJ9WpdEEquuNRpD5KCCtFeOm , 2 , 213.254.0.2 , 0.177701 , -1 , 23.6 , 1
Tracy McGrady , 2 , None , 0.226756 , 0.12 , -1 , 0
U82xMczXrgamk6n1fzSVH6Sv0mNGxsZg , 2 , None , 0.135348 , -1 , -1 , 1
USA TODAY , 2 , None , 0.253366 , 0.18 , -1 , 0
ScSlY5Zv0Gr72ns7gXszXkkOOPElCbgm , 2 , None , 0.164512 , -1 , -1 , 1
Washington Post , 2 , None , 0.264333 , 0.17 , -1 , 0
4EKcE5JT9enOXzsCZuiPWJylqcBLxIj2 , 2 , None , 0.177101 , -1 , -1 , 1
Carlos Arredondo , 2 , 85.159.32.17 , 0.319039 , 0.22 , 84.5 , 0
x4gqRZcUTmmBnBO7duJaYKCON55o83jp , 2 , None , 0.217245 , -1 , -1 , 1
Outside Lands , 2 , 87.204.204.179 , 0.18099 , 0.11 , -1 , 0
HFpAl5jxTBMBlUUaYUd95ujoTh530Ad5 , 2 , 208.69.34.13 , 0.193811 , -1 , 21.9 , 1
ricin , 3 , 61.220.8.90 , 0.184387 , 0.11 , -1 , 0
NWMi0xXmjCdP3LCgp2LMaWpxSnAx6g1Q , 3 , None , 0.141785 , -1 , -1 , 1
American Airlines , 3 , 193.206.141.38 , 0.229394 , 0.12 , 21.4 , 0
cjxtISgdGFXKTdsCpyb7dH4ZFY7iIXzE , 3 , 168.167.253.21 , 0.238461 , -1 , -1 , 1
Huffington Post , 3 , None , 0.224234 , 0.14 , -1 , 0
lSlWhiQostdZLzLKTpPmj2tbWaNMzgZI , 3 , None , 0.1444 , -1 , -1 , 1
Krystle Campbell , 3 , None , 0.286275 , 0.18 , -1 , 0
wxTqmhYin7WFtUKFPJK7PPCiGjrL7qXc , 3 , None , 0.148087 , -1 , -1 , 1
Girls Love Beyonce , 3 , 131.130.69.162 , 0.239083 , 0.16 , 0.018 , 0
efJGujb3ZJ9WpdEEquuNRpD5KCCtFeOm , 3 , None , 0.231783 , -1 , -1 , 1
Tracy McGrady , 3 , None , 0.335554 , 0.21 , -1 , 0
U82xMczXrgamk6n1fzSVH6Sv0mNGxsZg , 3 , None , 0.165297 , -1 , -1 , 1
USA TODAY , 3 , None , 0.211679 , 0.14 , -1 , 0
ScSlY5Zv0Gr72ns7gXszXkkOOPElCbgm , 3 , None , 0.201278 , -1 , -1 , 1
Washington Post , 3 , 131.130.69.162 , 0.241862 , 0.14 , 0.02 , 0
4EKcE5JT9enOXzsCZuiPWJylqcBLxIj2 , 3 , None , 0.157679 , -1 , -1 , 1
Carlos Arredondo , 3 , None , 0.271182 , 0.17 , -1 , 0
x4gqRZcUTmmBnBO7duJaYKCON55o83jp , 3 , 74.125.191.80 , 0.182147 , -1 , -1 , 1
Outside Lands , 3 , None , 0.407265 , 0.3 , -1 , 0
HFpAl5jxTBMBlUUaYUd95ujoTh530Ad5 , 3 , 125.208.0.33 , 0.195334 , -1 , -1 , 1
ricin , 4 , 131.130.69.162 , 0.186872 , 0.11 , 0.021 , 0
NWMi0xXmjCdP3LCgp2LMaWpxSnAx6g1Q , 4 , 131.130.69.162 , 0.206348 , -1 , 0.025 , 1
American Airlines , 4 , None , 0.221882 , 0.12 , -1 , 0
cjxtISgdGFXKTdsCpyb7dH4ZFY7iIXzE , 4 , None , 0.205092 , -1 , -1 , 1
Huffington Post , 4 , None , 0.312983 , 0.23 , -1 , 0
lSlWhiQostdZLzLKTpPmj2tbWaNMzgZI , 4 , 61.220.8.37 , 0.143182 , -1 , -1 , 1
Krystle Campbell , 4 , 168.95.43.41 , 0.317213 , 0.2 , -1 , 0
wxTqmhYin7WFtUKFPJK7PPCiGjrL7qXc , 4 , None , 0.18698 , -1 , -1 , 1
Girls Love Beyonce , 4 , None , 0.279904 , 0.18 , -1 , 0
efJGujb3ZJ9WpdEEquuNRpD5KCCtFeOm , 4 , 131.130.69.162 , 0.195506 , -1 , 0.02 , 1
Tracy McGrady , 4 , None , 0.336902 , 0.22 , -1 , 0
U82xMczXrgamk6n1fzSVH6Sv0mNGxsZg , 4 , None , 0.176884 , -1 , -1 , 1
USA TODAY , 4 , 203.157.19.71 , 0.244795 , 0.15 , -1 , 0
ScSlY5Zv0Gr72ns7gXszXkkOOPElCbgm , 4 , 203.157.19.71 , 0.193676 , -1 , -1 , 1
Washington Post , 4 , None , 0.312996 , 0.22 , -1 , 0
4EKcE5JT9enOXzsCZuiPWJylqcBLxIj2 , 4 , None , 0.149845 , -1 , -1 , 1
Carlos Arredondo , 4 , 91.192.189.2 , 0.372635 , 0.27 , 52.4 , 0
x4gqRZcUTmmBnBO7duJaYKCON55o83jp , 4 , 217.219.244.2 , 0.192738 , -1 , -1 , 1
Outside Lands , 4 , None , 0.239004 , 0.16 , -1 , 0
HFpAl5jxTBMBlUUaYUd95ujoTh530Ad5 , 4 , 131.130.69.162 , 0.181353 , -1 , 0.018 , 1
ricin , 5 , None , 0.210554 , 0.12 , -1 , 0
NWMi0xXmjCdP3LCgp2LMaWpxSnAx6g1Q , 5 , 208.69.33.21 , 0.184577 , -1 , 12.5 , 1
American Airlines , 5 , None , 0.214879 , 0.11 , -1 , 0
cjxtISgdGFXKTdsCpyb7dH4ZFY7iIXzE , 5 , 208.67.219.13 , 0.232382 , -1 , -1 , 1
Huffington Post , 5 , 131.130.69.162 , 0.217189 , 0.14 , 0.019 , 0
lSlWhiQostdZLzLKTpPmj2tbWaNMzgZI , 5 , 213.219.2.20 , 0.17675 , -1 , 23.2 , 1
Krystle Campbell , 5 , None , 0.226813 , 0.14 , -1 , 0
wxTqmhYin7WFtUKFPJK7PPCiGjrL7qXc , 5 , None , 0.167901 , -1 , -1 , 1
Girls Love Beyonce , 5 , None , 0.25368 , 0.18 , -1 , 0
efJGujb3ZJ9WpdEEquuNRpD5KCCtFeOm , 5 , 202.180.0.2 , 0.172837 , -1 , -1 , 1
Tracy McGrady , 5 , None , 0.28005 , 0.16 , -1 , 0
