ricin , 7 , 195.130.124.2 , 0.680148 , 0.29 , 0.073
zzBiUW0sOLHdHOBbuED7LTP3Rl3KVPht , 7 , 195.130.124.2 , 0.631243 , -1 , 0.08
American Airlines , 7 , 195.130.124.2 , 0.610936 , 0.11 , 0.07
GVZWL87EFlqUIqj2N18oip2OjTNp2Coq , 7 , 195.130.124.2 , 0.658427 , -1 , 0.087
Huffington Post , 7 , 195.130.124.2 , 0.649198 , 0.16 , 0.081
otiMeZzgStFox9L33h3vM7la6gMofCqa , 7 , 195.130.124.2 , 0.610284 , -1 , 0.063
Krystle Campbell , 7 , 195.130.124.2 , 0.674039 , 0.16 , 0.061
o4EV7777UjSPUZT4n1a8bOP9dwJY4OiG , 7 , 195.130.124.2 , 0.648606 , -1 , 0.069
Girls Love Beyonce , 7 , 212.19.128.8 , 0.695411 , 0.19 , -1 ,
llYvKYSRhPr3H4O8aBU61jblNGyRYdnn , 7 , 195.130.124.2 , 0.633023 , -1 , 0.076
Tracy McGrady , 7 , 195.130.124.2 , 0.694262 , 0.15 , 0.084
4OUqmVyQbeCTbc132JI5DQh7Zz9ZD8YX , 7 , 195.130.124.2 , 0.610589 , -1 , 0.082
USA TODAY , 7 , 195.130.124.2 , 0.651247 , 0.13 , 0.08
kIAuqADqjJTkhys3J6GRXRNpwAlDdMH9 , 7 , 195.130.124.2 , 0.638677 , -1 , 0.075
Washington Post , 7 , 195.130.124.2 , 0.672639 , 0.16 , 0.065
TkG67gx5Y1nG93bR15VpTwMA8qODBKFX , 7 , 195.130.124.2 , 0.649954 , -1 , 0.069
Carlos Arredondo , 7 , 195.130.124.2 , 0.627374 , 0.16 , 0.079
FKVcjXWLq4aPOTV9BalV5PY2utxs7PZu , 7 , 196.26.52.130 , 0.604689 , -1 , -1 ,
Outside Lands , 7 , 195.130.124.2 , 0.701985 , 0.1 , 0.081
hCrEPdQmbfrxHrJ3nArQ5vvng6YItbGp , 7 , 195.130.124.2 , 0.649705 , -1 , 0.07
ricin , 8 , 195.130.124.2 , 0.637259 , 0.14 , 0.062
zzBiUW0sOLHdHOBbuED7LTP3Rl3KVPht , 8 , 195.130.124.2 , 0.567716 , -1 , 0.094
American Airlines , 8 , 195.130.124.2 , 0.701224 , 0.13 , 0.085
GVZWL87EFlqUIqj2N18oip2OjTNp2Coq , 8 , 195.130.124.2 , 0.621686 , -1 , 0.076
Huffington Post , 8 , 195.130.124.2 , 0.669774 , 0.14 , 0.073
otiMeZzgStFox9L33h3vM7la6gMofCqa , 8 , 94.241.128.3 , 0.591087 , -1 , -1 ,
Krystle Campbell , 8 , 195.130.124.2 , 0.733381 , 0.14 , 0.079
o4EV7777UjSPUZT4n1a8bOP9dwJY4OiG , 8 , 195.130.124.2 , 0.62525 , -1 , 0.056
Girls Love Beyonce , 8 , 195.130.124.2 , 0.595692 , 0.16 , 0.072
llYvKYSRhPr3H4O8aBU61jblNGyRYdnn , 8 , 195.130.124.2 , 0.608622 , -1 , 0.073
Tracy McGrady , 8 , 195.130.124.2 , 0.927441 , 0.18 , 0.088
4OUqmVyQbeCTbc132JI5DQh7Zz9ZD8YX , 8 , 195.130.124.2 , 0.741743 , -1 , 0.077
USA TODAY , 8 , 144.122.30.10 , 0.707337 , 0.15 , 74.7
kIAuqADqjJTkhys3J6GRXRNpwAlDdMH9 , 8 , 195.130.124.2 , 0.577061 , -1 , 0.085
Washington Post , 8 , 173.194.97.16 , 0.68257 , 0.12 , -1 ,
TkG67gx5Y1nG93bR15VpTwMA8qODBKFX , 8 , 195.130.124.2 , 0.716587 , -1 , 0.076
Carlos Arredondo , 8 , 195.130.124.2 , 0.696308 , 0.13 , 0.078
FKVcjXWLq4aPOTV9BalV5PY2utxs7PZu , 8 , 221.11.156.142 , 0.680631 , -1 , -1 ,
Outside Lands , 8 , 195.130.124.2 , 0.647685 , 0.1 , 0.063
hCrEPdQmbfrxHrJ3nArQ5vvng6YItbGp , 8 , 195.130.124.2 , 0.626452 , -1 , 0.066
ricin , 9 , 195.130.124.2 , 0.64324 , 0.13 , 0.056
zzBiUW0sOLHdHOBbuED7LTP3Rl3KVPht , 9 , 195.130.124.2 , 0.574057 , -1 , 0.063
American Airlines , 9 , 195.130.124.2 , 0.671792 , 0.15 , 0.078
GVZWL87EFlqUIqj2N18oip2OjTNp2Coq , 9 , 195.130.124.2 , 0.637921 , -1 , 0.063
Huffington Post , 9 , 192.221.146.93 , 0.640335 , 0.12 , -1 ,
otiMeZzgStFox9L33h3vM7la6gMofCqa , 9 , 195.130.124.2 , 0.602634 , -1 , 0.071
Krystle Campbell , 9 , 74.125.189.18 , 0.731703 , 0.15 , 57.8
o4EV7777UjSPUZT4n1a8bOP9dwJY4OiG , 9 , 195.130.124.2 , 0.621881 , -1 , 0.066
Girls Love Beyonce , 9 , 150.101.197.132 , 0.614584 , 0.19 , -1 ,
llYvKYSRhPr3H4O8aBU61jblNGyRYdnn , 9 , 195.130.124.2 , 0.600167 , -1 , 0.074
Tracy McGrady , 9 , 195.130.124.2 , 0.727232 , 0.16 , 0.062
4OUqmVyQbeCTbc132JI5DQh7Zz9ZD8YX , 9 , 195.130.124.2 , 0.631927 , -1 , 0.078
USA TODAY , 9 , 195.130.124.2 , 0.622378 , 0.16 , 0.065
kIAuqADqjJTkhys3J6GRXRNpwAlDdMH9 , 9 , 195.130.124.2 , 0.542466 , -1 , 0.073
Washington Post , 9 , 195.130.124.2 , 0.632142 , 0.14 , 0.076
TkG67gx5Y1nG93bR15VpTwMA8qODBKFX , 9 , 195.130.124.2 , 0.676456 , -1 , 0.087
Carlos Arredondo , 9 , 195.130.124.2 , 0.718622 , 0.14 , 0.074
FKVcjXWLq4aPOTV9BalV5PY2utxs7PZu , 9 , 195.130.124.2 , 0.58895 , -1 , 0.062
Outside Lands , 9 , 195.130.124.2 , 0.679306 , 0.09 , 0.07
hCrEPdQmbfrxHrJ3nArQ5vvng6YItbGp , 9 , 195.130.124.2 , 0.542087 , -1 , 0.08
ricin , 0 , 195.130.124.2 , 0.677696 , 0.12 , 0.074
squCqBTWMS2nPp1EMf3bRXyEtmZc0Fpy , 0 , 195.130.124.2 , 0.676605 , -1 , 0.068
Krystle Campbell , 0 , 195.130.124.2 , 0.723664 , 0.16 , 0.081
Rih1hpQWfTUZgQYpwguAZ9LO5kZgZaSt , 0 , 195.130.124.2 , 0.656516 , -1 , 0.071
Huffington Post , 0 , 74.125.189.17 , 0.684775 , 0.14 , 55.5
HPuA83B1jYyFTFVXPLdTmcH9zcbgHNDK , 0 , 195.130.124.2 , 0.60589 , -1 , 0.075
Girls Love Beyonce , 0 , 195.130.124.2 , 0.590371 , 0.21 , 0.085
zOwIJkjO8PAgqEdj5niog3BHpj2nYGZN , 0 , 195.130.124.2 , 0.604053 , -1 , 0.074
BBC News , 0 , 195.130.124.2 , 0.610018 , 0.14 , 0.066
5ZzrxUrwvtMIUcN6mkhG9eD21laRXsUo , 0 , 195.130.124.2 , 0.613932 , -1 , 0.068
Carlos Arredondo , 0 , 213.157.176.190 , 0.674708 , 0.18 , 99.1
o499QBnqglqdSbVBTyAT5jGnJHn0QlAy , 0 , 195.130.124.2 , 0.607077 , -1 , 0.073
Tracy McGrady , 0 , 195.130.124.2 , 0.742433 , 0.18 , 0.071
Z8iMJJAcaLJmPhEHHv4hRPPZZkAzBdxI , 0 , 195.130.124.2 , 0.598416 , -1 , 0.072
Washington Post , 0 , 195.130.124.2 , 0.61678 , 0.14 , 0.073
gWw6ihLFBR7Cen7wQ3T0J0Ks5KIb8Ptl , 0 , 195.130.124.2 , 0.630861 , -1 , 0.06
Outside Lands , 0 , 195.130.124.2 , 0.633613 , 0.13 , 0.061
yL6YaQUUquJ67vfCOON2QU7IBRZjIzOV , 0 , 195.130.124.2 , 0.635 , -1 , 0.088
Patton Oswalt , 0 , 195.130.124.2 , 0.837433 , 0.2 , 0.078
QsRDSoEtSvNOcthzcLKSigzLlRP3Y3M9 , 0 , 195.130.124.2 , 0.609726 , -1 , 0.058
ricin , 1 , 82.77.157.2 , 0.613294 , 0.09 , -1 ,
