nKh0Q8ntG10N0Re7puYcQcyy8P8DfRdN , 4 , 128.2.211.114 , 0.973284 , -1 , 0.037 , 1
Outside Lands , 4 , 8.0.31.59 , 0.326908 , 0.11 , -1 , 0
ACwihn9h2z66e9RH4hIuEvKdPcPj08zJ , 4 , 170.163.14.90 , 1.836671 , -1 , -1 , 1
ricin , 5 , 66.80.130.235 , 0.341398 , 0.17 , 72.7 , 0
GKF0ItZDQgVAIwlfzOYty6JmfwrLNrvY , 5 , 208.69.32.17 , 0.507065 , -1 , 6.69 , 1
American Airlines , 5 , None , 0.212787 , 0.13 , -1 , 0
3OIvR1caCk4NIe0DaSPOPJxuJUiTRSnq , 5 , 208.69.32.13 , 0.203965 , -1 , 6.79 , 1
Huffington Post , 5 , 208.69.32.21 , 0.229599 , 0.13 , 6.4 , 0
pAsDigON4XrJR3J8q0hF8GcvJWA7JJvE , 5 , 65.210.205.174 , 0.201068 , -1 , -1 , 1
Krystle Campbell , 5 , None , 0.267481 , 0.13 , -1 , 0
tgwBqDsHwcIEq0RE68eELh5NdeZl3fz8 , 5 , 128.2.211.114 , 0.193407 , -1 , 0.036 , 1
Girls Love Beyonce , 5 , 12.229.6.3 , 0.268399 , 0.16 , 25.7 , 0
rZPL47hVXDdh2Sv8qLgfs4ETzyaNownk , 5 , None , 0.189529 , -1 , -1 , 1
Tracy McGrady , 5 , None , 0.275261 , 0.13 , -1 , 0
cPJrs2WnJMHRZgJYvKSPeInZ5FCi1mYG , 5 , 216.167.161.35 , 0.222995 , -1 , 42.5 , 1
USA TODAY , 5 , None , 1.472629 , 1.34 , -1 , 0
RmZ6rtKxzdeh7l4MJ8PzxDKOe2v3gzyP , 5 , None , 0.200251 , -1 , -1 , 1
Washington Post , 5 , 128.2.211.114 , 1.302584 , 0.15 , 0.042 , 0
XUnhpDCzp4WXkpijJ5TKTuQXEBnOKPj0 , 5 , 170.163.14.90 , 0.196543 , -1 , -1 , 1
Carlos Arredondo , 5 , 128.2.211.114 , 0.880963 , 0.16 , 0.043 , 0
nKh0Q8ntG10N0Re7puYcQcyy8P8DfRdN , 5 , 216.19.223.28 , 0.199267 , -1 , 36.4 , 1
Outside Lands , 5 , None , 0.253284 , 0.13 , -1 , 0
ACwihn9h2z66e9RH4hIuEvKdPcPj08zJ , 5 , None , 0.172713 , -1 , -1 , 1
ricin , 6 , None , 0.189008 , 0.08 , -1 , 0
GKF0ItZDQgVAIwlfzOYty6JmfwrLNrvY , 6 , None , 0.253248 , -1 , -1 , 1
American Airlines , 6 , None , 0.23375 , 0.16 , -1 , 0
3OIvR1caCk4NIe0DaSPOPJxuJUiTRSnq , 6 , None , 0.17821 , -1 , -1 , 1
Huffington Post , 6 , 128.2.211.114 , 0.278806 , 0.16 , 0.036 , 0
pAsDigON4XrJR3J8q0hF8GcvJWA7JJvE , 6 , None , 0.211628 , -1 , -1 , 1
Krystle Campbell , 6 , None , 0.219584 , 0.12 , -1 , 0
tgwBqDsHwcIEq0RE68eELh5NdeZl3fz8 , 6 , 68.1.208.19 , 0.181893 , -1 , 76.5 , 1
Girls Love Beyonce , 6 , 128.2.211.114 , 0.295956 , 0.16 , 0.048 , 0
rZPL47hVXDdh2Sv8qLgfs4ETzyaNownk , 6 , None , 0.195442 , -1 , -1 , 1
Tracy McGrady , 6 , 206.51.97.30 , 0.360487 , 0.21 , 25.1 , 0
cPJrs2WnJMHRZgJYvKSPeInZ5FCi1mYG , 6 , 128.2.211.114 , 0.651922 , -1 , 0.046 , 1
USA TODAY , 6 , 128.2.211.114 , 0.293026 , 0.15 , 0.046 , 0
RmZ6rtKxzdeh7l4MJ8PzxDKOe2v3gzyP , 6 , 198.5.241.54 , 0.210653 , -1 , -1 , 1
Washington Post , 6 , 8.0.15.58 , 0.378569 , 0.14 , -1 , 0
XUnhpDCzp4WXkpijJ5TKTuQXEBnOKPj0 , 6 , 204.194.238.13 , 0.398663 , -1 , 32.3 , 1
Carlos Arredondo , 6 , 66.234.185.8 , 0.272656 , 0.16 , 19.3 , 0
nKh0Q8ntG10N0Re7puYcQcyy8P8DfRdN , 6 , 128.2.211.114 , 0.173174 , -1 , 0.052 , 1
Outside Lands , 6 , None , 0.19909 , 0.12 , -1 , 0
ACwihn9h2z66e9RH4hIuEvKdPcPj08zJ , 6 , 186.208.127.242 , 0.214355 , -1 , -1 , 1
ricin , 7 , 208.67.217.15 , 0.223751 , 0.09 , 80.7 , 0
GKF0ItZDQgVAIwlfzOYty6JmfwrLNrvY , 7 , None , 0.228426 , -1 , -1 , 1
American Airlines , 7 , 128.2.211.114 , 0.284322 , 0.15 , 0.049 , 0
3OIvR1caCk4NIe0DaSPOPJxuJUiTRSnq , 7 , 128.2.211.114 , 0.181825 , -1 , 0.036 , 1
Huffington Post , 7 , 170.163.14.90 , 0.373037 , 0.14 , -1 , 0
pAsDigON4XrJR3J8q0hF8GcvJWA7JJvE , 7 , 128.2.211.114 , 0.195298 , -1 , 0.04 , 1
Krystle Campbell , 7 , None , 0.298236 , 0.12 , -1 , 0
tgwBqDsHwcIEq0RE68eELh5NdeZl3fz8 , 7 , None , 0.205621 , -1 , -1 , 1
Girls Love Beyonce , 7 , 131.215.139.100 , 0.280716 , 0.17 , 68.7 , 0
rZPL47hVXDdh2Sv8qLgfs4ETzyaNownk , 7 , None , 0.193586 , -1 , -1 , 1
Tracy McGrady , 7 , None , 0.360152 , 0.22 , -1 , 0
cPJrs2WnJMHRZgJYvKSPeInZ5FCi1mYG , 7 , 128.2.211.114 , 0.218447 , -1 , 0.035 , 1
USA TODAY , 7 , None , 0.310193 , 0.22 , -1 , 0
RmZ6rtKxzdeh7l4MJ8PzxDKOe2v3gzyP , 7 , 128.2.211.114 , 0.199318 , -1 , 0.034 , 1
Washington Post , 7 , 216.136.82.113 , 0.262848 , 0.16 , 39.0 , 0
XUnhpDCzp4WXkpijJ5TKTuQXEBnOKPj0 , 7 , None , 0.211456 , -1 , -1 , 1
Carlos Arredondo , 7 , 128.2.211.114 , 0.334959 , 0.25 , 0.043 , 0
nKh0Q8ntG10N0Re7puYcQcyy8P8DfRdN , 7 , 200.135.14.2 , 0.216444 , -1 , -1 , 1
Outside Lands , 7 , None , 0.218581 , 0.13 , -1 , 0
ACwihn9h2z66e9RH4hIuEvKdPcPj08zJ , 7 , 64.233.162.82 , 1.321513 , -1 , -1 , 1
ricin , 8 , None , 0.202674 , 0.1 , -1 , 0
GKF0ItZDQgVAIwlfzOYty6JmfwrLNrvY , 8 , None , 0.17673 , -1 , -1 , 1
American Airlines , 8 , None , 0.263387 , 0.18 , -1 , 0
3OIvR1caCk4NIe0DaSPOPJxuJUiTRSnq , 8 , 74.125.178.18 , 0.182451 , -1 , 22.4 , 1
Huffington Post , 8 , None , 0.281758 , 0.2 , -1 , 0
pAsDigON4XrJR3J8q0hF8GcvJWA7JJvE , 8 , None , 0.198901 , -1 , -1 , 1
Krystle Campbell , 8 , 128.2.211.114 , 0.301 , 0.14 , 0.037 , 0
tgwBqDsHwcIEq0RE68eELh5NdeZl3fz8 , 8 , 198.177.159.60 , 0.218828 , -1 , -1 , 1
Girls Love Beyonce , 8 , None , 0.242315 , 0.15 , -1 , 0
rZPL47hVXDdh2Sv8qLgfs4ETzyaNownk , 8 , None , 0.175379 , -1 , -1 , 1
Tracy McGrady , 8 , 66.162.9.252 , 0.326448 , 0.14 , 18.0 , 0
cPJrs2WnJMHRZgJYvKSPeInZ5FCi1mYG , 8 , None , 0.242213 , -1 , -1 , 1
USA TODAY , 8 , None , 0.332745 , 0.2 , -1 , 0
RmZ6rtKxzdeh7l4MJ8PzxDKOe2v3gzyP , 8 , None , 0.186544 , -1 , -1 , 1
Washington Post , 8 , None , 0.298301 , 0.21 , -1 , 0
XUnhpDCzp4WXkpijJ5TKTuQXEBnOKPj0 , 8 , None , 0.222931 , -1 , -1 , 1
Carlos Arredondo , 8 , None , 0.28669 , 0.16 , -1 , 0
nKh0Q8ntG10N0Re7puYcQcyy8P8DfRdN , 8 , 128.2.211.114 , 0.584618 , -1 , 0.045 , 1
Outside Lands , 8 , 128.2.211.114 , 0.382085 , 0.24 , 0.047 , 0
ACwihn9h2z66e9RH4hIuEvKdPcPj08zJ , 8 , None , 0.193881 , -1 , -1 , 1
ricin , 9 , 128.2.211.114 , 1.113071 , 0.13 , 0.039 , 0
GKF0ItZDQgVAIwlfzOYty6JmfwrLNrvY , 9 , None , 0.286539 , -1 , -1 , 1
American Airlines , 9 , None , 0.225322 , 0.14 , -1 , 0
3OIvR1caCk4NIe0DaSPOPJxuJUiTRSnq , 9 , None , 0.21306 , -1 , -1 , 1
Huffington Post , 9 , 128.2.211.114 , 0.35166 , 0.15 , 0.037 , 0
pAsDigON4XrJR3J8q0hF8GcvJWA7JJvE , 9 , 128.2.211.114 , 0.210998 , -1 , 0.043 , 1
Krystle Campbell , 9 , None , 0.252239 , 0.12 , -1 , 0
tgwBqDsHwcIEq0RE68eELh5NdeZl3fz8 , 9 , None , 0.205957 , -1 , -1 , 1
Girls Love Beyonce , 9 , None , 0.254434 , 0.17 , -1 , 0
rZPL47hVXDdh2Sv8qLgfs4ETzyaNownk , 9 , None , 0.229492 , -1 , -1 , 1
Tracy McGrady , 9 , None , 0.312781 , 0.16 , -1 , 0
cPJrs2WnJMHRZgJYvKSPeInZ5FCi1mYG , 9 , None , 0.291006 , -1 , -1 , 1
